% Module: Sweep, ID: c0p1t6p1cfm0
% Devices: DEV4765
% Time: 2021/02/23 18:55:25
% Impedance 1 Sample Abs(Z), /dev4765/imps/0/sample.AbsZ
% Impedance 1 Sample Imag(Z), /dev4765/imps/0/sample.ImagZ
% Impedance 1 Sample Phase(Z), /dev4765/imps/0/sample.PhaseZ
% Impedance 1 Sample Real(Z), /dev4765/imps/0/sample.RealZ
% Frequency (Hz); Impedance 1 Sample Abs(Z)  Impedance (Ohm); Impedance 1 Sample Imag(Z)  Impedance (Ohm); Impedance 1 Sample Phase(Z)  Phase(Z) (deg); Impedance 1 Sample Real(Z)  Impedance (Ohm)
1000; 39462.2907455; -39457.8424457; -89.1397053398; 592.503018407
1009.000818256205; 39113.4769644; -39109.0653953; -89.1394530921; 587.437965134
1018.00163651241; 38770.8811544; -38766.5038153; -89.1390187297; 582.586477075
1027.002454768615; 38434.0769894; -38429.7375645; -89.1390079891; 577.532729504
1036.00327302482; 38103.5517374; -38099.2420598; -89.138250399; 573.06982674
1045.004091281025; 37778.3145137; -37774.0402859; -89.1381158217; 568.267050218
1054.004909537231; 37458.7248759; -37454.4826206; -89.1376901466; 563.737999529
1063.005727793436; 37144.2691214; -37140.0647184; -89.1379195864; 558.856848645
1072.006546049641; 36835.686521; -36831.5172508; -89.1379409636; 554.200297107
1081.007364305846; 36532.0211772; -36527.8857881; -89.1378898698; 549.664167814
1090.008182562051; 36233.9260701; -36229.819803; -89.1374042095; 545.486100827
1099.009000818256; 35939.3161408; -35935.2447304; -89.1375598187; 540.953280841
1108.009819074461; 35650.5723633; -35646.5301568; -89.1371855294; 536.840015185
1117.010637330666; 35365.9825879; -35361.9716282; -89.1370754261; 532.622506886
1126.011455586872; 35086.2391652; -35082.2581929; -89.1368870497; 528.524827651
1135.012273843077; 34810.271694; -34806.3158651; -89.1362131652; 524.777140529
1144.013092099282; 34538.9127545; -34534.9907049; -89.1365369533; 520.491146009
1153.013910355487; 34271.9652107; -34268.0702904; -89.13618393; 516.679466044
1162.014728611692; 34008.9142595; -34005.0468723; -89.1359199147; 512.870440671
1171.015546867897; 33749.9866067; -33746.1499707; -89.1360673295; 508.878868751
1180.016365124102; 33494.6280417; -33490.8178542; -89.1357743716; 505.199833453
1189.017183380307; 33243.7910481; -33240.0085414; -89.1356770427; 501.472921071
1198.018001636513; 32996.5404667; -32992.7793542; -89.1349019201; 498.189558988
1207.018819892718; 32752.9208219; -32749.1876995; -89.134927454; 494.496739544
1216.019638148923; 32512.3638316; -32508.6561019; -89.1346908245; 490.999117776
1225.020456405128; 32275.8922449; -32272.2127507; -89.1348400931; 487.343870997
1234.021274661333; 32042.9811726; -32039.3248111; -89.1344350944; 484.053543492
1243.022092917538; 31813.1518751; -31809.5185553; -89.1340554862; 480.792402258
1252.022911173743; 31586.7807831; -31583.1719463; -89.1338915888; 477.461599285
1261.023729429948; 31363.2904168; -31359.7057817; -89.1337299563; 474.17181377
1270.024547686153; 31143.6081432; -31140.045407; -89.1333395805; 471.062676416
1279.025365942358; 30926.9372012; -30923.4021788; -89.1336982427; 467.591847527
1288.026184198563; 30712.8257874; -30709.308638; -89.132884417; 464.790836835
1297.027002454769; 30501.2525768; -30497.762398; -89.1332247286; 461.407858329
1306.027820710974; 30293.4451126; -30289.9765251; -89.1329511654; 458.408875158
1315.028638967179; 30087.8172244; -30084.3716484; -89.1328840041; 455.332519237
1324.029457223384; 29885.765975; -29882.3412047; -89.1325884918; 452.428909469
1333.030275479589; 29685.5660425; -29682.1620128; -89.1323079044; 449.543520839
1342.031093735794; 29488.1449375; -29484.7644496; -89.1324239524; 446.494155765
1351.031911991999; 29293.6370097; -29290.2784263; -89.1323730876; 443.575021129
1360.032730248204; 29101.666995; -29098.3285655; -89.132131853; 440.790651562
1369.03354850441; 28911.8245768; -28908.505747; -89.1318467602; 438.059032017
1378.034366760615; 28724.7640599; -28721.4636615; -89.1314465; 435.425421883
1387.03518501682; 28540.3492553; -28537.0725138; -89.1317734886; 432.467099145
1396.036003273025; 28358.2530254; -28354.9932897; -89.1312534429; 429.965189857
1405.03682152923; 28178.2666077; -28175.0249463; -89.1309028645; 427.408648513
1414.037639785435; 28000.8084037; -27997.5871932; -89.1309078354; 424.71452967
1423.03845804164; 27825.0127702; -27821.8135206; -89.1311436852; 421.933547475
1432.039276297845; 27651.6671321; -27648.4859206; -89.1308851631; 419.429715557
1441.04009455405; 27481.0574338; -27477.8929862; -89.1304915267; 417.030631763
1450.040912810256; 27311.951473; -27308.8065204; -89.1304945117; 414.462992346
1459.041731066461; 27145.1798594; -27142.0522496; -89.1302359601; 412.054687859
1468.042549322666; 26980.2633452; -26977.1538642; -89.1301136585; 409.608895886
1477.043367578871; 26817.4337423; -26814.3432898; -89.1301506481; 407.119537447
1486.044185835076; 26656.5910709; -26653.5180101; -89.1299886807; 404.753105981
1495.045004091281; 26497.4800189; -26494.4262686; -89.1301265121; 402.273432307
1504.045822347486; 26340.8256892; -26337.7881079; -89.1298564519; 400.019314506
1513.046640603691; 26185.2343288; -26182.2097203; -89.1291406734; 397.983546414
1522.047458859896; 26031.8677587; -26028.8616326; -89.1292520668; 395.601957096
1531.048277116101; 25880.446452; -25877.4569187; -89.1291215796; 393.359766403
1540.049095372307; 25730.369867; -25727.3950448; -89.128737305; 391.251286654
1549.049913628512; 25582.2786837; -25579.3220134; -89.1288889569; 388.931734336
1558.050731884717; 25435.6874776; -25432.7457378; -89.128591003; 386.835340849
1567.051550140922; 25291.0924812; -25288.1671851; -89.1285495233; 384.654595979
1576.052368397127; 25148.1175496; -25145.2054141; -89.1280438212; 382.702012407
